ticket_id,ticket_text,true_category,true_urgency,predicted_category,predicted_urgency,rationale
T019,"I'm trying to change my address, but the app won't let me. It says I need to verify my ID again, but I've already done that. What's going on?",,,Account,Medium,The customer is having trouble updating their personal details due to an identity verification issue.
T020,"I love the new features you've been adding, but can you please make it easier to search for specific transactions? It's a bit of a pain right now.",,,Other,Low,The customer is providing general feedback and requesting a new feature.
T021,I think I've been a victim of fraud. I see a transaction on my account that I didn't make. Can you please help me get my money back and secure my account?,,,Account,High,Customer suspects fraud and has an unauthorized transaction on their account.
T022,"I'm not sure what's going on, but my account balance says I have -£50. I know I had money in my account yesterday. Can you look into this?",,,Account,High,Customer reports an unexpected negative balance and potential loss of funds.
T023,"The currency conversion fees you're charging me are ridiculous. I know I was warned about them, but I didn't expect it to be this high. Can you review my recent transactions and see if there's anything you can do?",,,Billing,Medium,The customer is disputing currency conversion fees on their recent transactions.
T024,"I'm locked out of my account and I really need to get in to pay a bill. I've tried resetting my password, but it's not working. Help!",,,Account,High,Customer is locked out of their account and needs access to pay a bill
T025,"I've been trying to close my account for weeks, but I keep getting errors when I try to submit the request. Can you please help me finally close my account?",,,Account,Medium,Customer is having trouble closing their account due to errors with the request submission process.
T026,"Something weird is going on with my account. I'm not getting any notifications, and when I try to log in, it says my password is incorrect. But I know I'm using the right password...",,,Account,Medium,The customer is experiencing issues with account access and login.
T027,Can you please add a feature to allow us to export our transaction history to a CSV file? That would be really helpful for me.,,,Other,Low,"The customer is requesting a new feature, not reporting an issue with their account or service."
T028,"I'm a bit confused about the recent charge on my account. It says it's for a 'service fee', but I'm not sure what that is. Can you please clarify?",,,Billing,Low,"The customer is inquiring about a charge on their account, but is not reporting any urgent issue with access to funds."
T029,"I've been having some issues with the app, and I'm not sure if it's a technical problem or something with my account. Sometimes it says I have no balance, and other times it says I have a negative balance. And when I try to make a payment, it fails. Help!",,,Technical,Medium,"The customer is experiencing app issues, such as incorrect balance displays and payment failures, indicating a technical problem."
T030,"I just got a notification that my card is being replaced, but I didn't request a new card. Is everything okay? Should I be worried about fraud or something?",,,Account,Medium,The customer is inquiring about an unexpected card replacement which may indicate a potential account security issue.
T031,"Hey, I just got charged £15 for a transaction I didn't make. Can you look into this ASAP?",,,Billing,High,Customer reports an unauthorized transaction and requests urgent assistance
T032,I'm trying to log in to the app but it keeps saying my password is incorrect. I've tried resetting it but nothing's working,,,Technical,Medium,The customer is experiencing a login issue due to a potential app or system problem.
T033,"I love the new budgeting features, but can we get a 'save for a goal' type thing? Like, where I can set a target and track my progress?",,,Other,Low,The customer is providing general feedback and requesting a new feature.
T034,I'm on holiday in Spain and just got charged a weird fee for using my card. Can you tell me what this is and how to avoid it in future?,,,Billing,Medium,The customer is inquiring about a specific fee charged to their account while using their card abroad.
T035,Something weird is going on with my account. I've had a few suspicious transactions and I'm worried I've been hacked. Can you help me get to the bottom of this?,,,Account,High,Customer suspects fraud and has had suspicious transactions on their account.
T036,How do I close my Monzo account? I've decided to switch to a different bank,,,Account,Low,"The customer is asking about closing their account, which falls under account management."
T037,The app just crashed while I was trying to make a payment. Now the recipient is saying they haven't received the money. Can you sort this out?,,,Technical,High,The customer is experiencing a payment failure and suspects the recipient hasn't received the money.
T038,"I'm not sure what's going on, but my card was just declined at the shop. I've got plenty of money in my account, so it's a bit weird",,,Technical,Medium,"The customer's card was declined despite having sufficient funds, indicating a potential system issue."
T039,Can you help me with a refund? I bought something online and it never arrived. The seller is being unresponsive,,,Billing,Medium,Customer is seeking a refund for a missing item and the seller is unresponsive.
T040,"I'm trying to update my address, but the app won't let me. It keeps saying there's an error",,,Account,Medium,"The customer is having trouble updating their address, which is an account-related issue."
T041,Something's not right. I've been looking at my statement and I'm sure I've been charged twice for the same thing. Can you investigate?,,,Billing,Medium,The customer is reporting a potential duplicate charge on their statement.
T042,"I've been having some issues with the app, and I was wondering if you could tell me how to clear the cache or something?",,,Technical,Medium,"The customer is reporting issues with the app, indicating a potential technical problem."
T043,I've just gotten a new job and I need to set up a direct debit. Can you help me with that? I'm not sure where to start,,,Billing,Low,"The customer needs help with setting up a direct debit, a billing-related task with no time pressure."
T044,I'm a bit confused about the interest rates on my account. Can someone explain how it all works?,,,Billing,Low,"The customer is asking for clarification on interest rates, which is related to money movement and charges."
T045,I've got a problem. I think I might have given my card details to a scammer. What should I do now?,,,Account,High,Customer suspects fraud and may have compromised their account security.
T046,"Hey, my card was just blocked and I have no idea why. I was trying to pay for groceries and it just declined. Can you please help me ASAP? I need to buy food for my family",,,Account,High,The customer's card is blocked and they are unable to access their funds to buy essential items.
T047,I've been charged £15 for a subscription I don't remember signing up for. Can you help me get a refund?,,,Billing,Medium,The customer is querying an unexpected charge and seeking a refund.
T048,"The app keeps crashing on my iPhone. I've tried restarting and updating, but it still doesn't work. Can you fix this please?",,,Technical,Medium,The customer is experiencing a recurring app crash issue that is not currently blocking access to their funds.
T049,"I'm trying to change my address, but the app won't let me. It says I need to verify my ID again, but I've already done that. Help!",,,Account,Medium,Customer is having trouble updating personal details due to an identity verification issue.
T050,"I love the new budgeting features, but can you please add a way to track my savings goals? That would be really helpful",,,Other,Low,The customer is providing general feedback and requesting a new feature.
T051,Something weird is going on with my account. I've had a few strange transactions and I'm not sure what's going on. Can you look into it?,,,Account,High,The customer suspects potential fraud due to strange transactions on their account.
T052,I'm going abroad next week and I want to make sure I won't get charged any crazy fees. How does the currency conversion work?,,,Billing,Low,The customer is asking about currency conversion fees before traveling abroad.
T053,"I've been locked out of my account and I need to pay my rent ASAP. Can you please help me get back in? I've tried resetting my password, but it's not working",,,Account,High,Customer is locked out of their account and has a time-sensitive payment to make
T054,"I'm not sure what's going on, but my account balance is wrong. I've got a negative balance, but I know I had money in there. Can you help me figure out what's going on?",,,Billing,High,Customer reports a negative account balance and potential missing funds.
T055,"The app is saying I've got a pending payment, but I don't know what it is. Can you tell me what it's for?",,,Billing,Medium,The customer is inquiring about a pending payment they are unsure about.
T056,"I want to close my account, but I'm not sure how. Can you walk me through the process?",,,Account,Low,"The customer is seeking information on closing their account, which is an account management task."
T057,I've got a problem with my card. It's not being accepted anywhere and I'm not sure why. Can you help me?,,,Account,High,"The customer's card is not being accepted anywhere, blocking their access to funds."
T058,"I'm a bit confused about the interest rates on my account. Can you explain how it works? I've been trying to read the FAQs, but I'm still not sure",,,Billing,Low,"Customer is seeking clarification on interest rates, which is a general question about their account."
T059,"Something's not right. I've had a few issues with the app and I'm starting to get a bit frustrated. Can we talk about what's going on? I'm not even sure what the problem is, but I know it's not just me",,,Technical,Medium,"The customer reports having issues with the app, indicating a potential technical problem."
T060,"I've been trying to pay my credit card bill, but the payment isn't going through. I've tried a few times, but it just won't work. Can you help me figure out what's going on?",,,Technical,Medium,"The customer is experiencing a payment failure, which is a technical issue preventing a specific transaction."
T061,"Hey, my card was just blocked and I have no idea why. I'm abroad and I need it for a hotel payment tonight. Help!",,,Account,High,The customer's card is blocked and they urgently need it for a payment abroad.
T062,"I've been charged twice for my Netflix subscription this month, can you please look into this and refund the extra charge?",,,Billing,Medium,The customer is reporting an incorrect charge on their account.
T063,The app keeps crashing whenever I try to send money to a friend. Has anyone else reported this issue?,,,Technical,Medium,The customer is experiencing a recurring app crash when attempting a specific action.
T064,"I'm trying to change my address but the app won't let me. It says I need to verify my ID again, but I've already done that. What's going on?",,,Account,Medium,The customer is having trouble updating their personal details due to an identity verification issue.
T065,"I love the new budgeting features, but it would be great if I could set custom categories. Is this something you're working on?",,,Other,Low,The customer is providing general feedback and requesting a new feature.
T066,I've got a strange payment on my statement from a company I've never heard of. Can you tell me what this is for?,,,Billing,Medium,The customer is inquiring about an unknown payment on their statement.
T067,I'm having trouble logging in to my account. I've tried resetting my password but it's still not working. Help!,,,Account,High,Customer is unable to access their account due to login issues.
T068,The exchange rate you're using for my USD transactions seems really unfair. Can you explain how you calculate this?,,,Billing,Low,The customer is inquiring about currency conversion rates used by Monzo.
T069,"I want to close my account, but I'm not sure how to do it. Can you walk me through the process?",,,Account,Low,"The customer is seeking guidance on closing their account, which is an account management task."
T070,Something weird is going on with my account... I'm getting notifications for transactions that aren't mine. What's happening?,,,Account,High,Customer suspects unauthorized transactions on their account.
T071,"I'm trying to pay a bill, but the payment is being declined. I've got plenty of money in my account, so I'm not sure what the problem is.",,,Technical,Medium,The customer is experiencing a payment failure despite having sufficient funds.
T072,"I've been trying to get in touch with you guys for weeks about an issue with my account, but nobody seems to be responding. This is ridiculous.",,,Other,Medium,"The customer is expressing frustration with the support process, but doesn't specify a particular issue with their account or funds."
T073,"I'm not sure if this is a bug or what, but my account balance seems to be incorrect. It says I've got -£10, which can't be right...",,,Technical,Medium,"The customer reports an incorrect account balance, which could be a technical issue with the app or system."
T074,Can I get some help with something? I'm not really sure what's going on or what I'm doing wrong...,,,Other,Low,The customer's query is vague and doesn't fit into any specific category.
T075,"I just got a notification that my card is being replaced, but I didn't request a new one. What's going on? Is my old card still valid?",,,Account,Medium,The customer is inquiring about an unexpected card replacement which may affect their account access.
T076,"Hey, my card was just blocked while trying to pay for groceries and I have no idea why. Can you please help me sort this out ASAP? I need to buy food for tonight",,,Account,High,The customer's card is blocked and they urgently need access to funds to buy groceries.
T077,I'm trying to change my address in the app but it keeps crashing. Can you fix this?,,,Technical,Medium,The customer is experiencing an app crash while trying to perform a task.
T078,I've been charged twice for my Netflix subscription this month. Can you help me get a refund for one of the charges?,,,Billing,Medium,The customer has been incorrectly charged and is requesting a refund.
T079,I've noticed that my account has been locked and I'm not sure why. I've tried resetting my password but it's still not working. Can you please assist me?,,,Account,High,Customer has no access to their account due to an unexpected lock.
T080,"I'm not sure if this is the right place to ask, but I was wondering if Monzo could add a feature to track cryptocurrency prices in the app?",,,Other,Low,"The customer is requesting a new feature, not reporting a problem with their account or the app."
T081,I've just gotten back from a trip to the US and I've been charged a bunch of extra fees for using my card abroad. Can someone explain to me why these fees are so high?,,,Billing,Low,"The customer is inquiring about fees charged for using their card abroad, which falls under billing and currency conversion."
T082,Something weird is going on with my account. I could've sworn I had more money in there than I do now. Can you look into this for me?,,,Account,Medium,"Customer is reporting a discrepancy in their account balance, which may indicate a potential issue with their account."
T083,"My app isn't letting me log in, says my password is incorrect even though I know it's right. Help?",,,Technical,Medium,The customer is experiencing a login issue due to a potential app or system problem.
T084,"I'm trying to send money to a friend but the payment keeps failing. It says there's an issue with the recipient's account, but my friend is saying that's not true.",,,Technical,Medium,The customer is experiencing a payment failure due to a reported issue with the recipient's account.
T085,"I've been trying to close my account for weeks now, but every time I try, the app says there's an error. Can you please just close it for me?",,,Account,Medium,The customer is having trouble closing their account due to an error in the app.
T086,I had a weird transaction show up on my statement - it was for a company I've never heard of. I'm not sure if I've been scammed or what. Can you help me figure out what's going on?,,,Billing,High,Customer suspects potential fraud due to an unknown transaction on their statement.
T087,Can you please explain to me how your currency conversion fees work? I feel like I'm being charged too much when I use my card abroad,,,Billing,Low,"The customer is asking for an explanation of currency conversion fees, not reporting a time-sensitive issue."
T088,I'm having some issues with the budgeting feature in the app. It's not tracking my spending correctly and I'm not sure why. Can someone help me troubleshoot?,,,Technical,Medium,The customer is experiencing a problem with the app's budgeting feature that is not blocking access to funds but is causing inconvenience.
T089,"I don't know if this is a Monzo issue or not, but I've been having some problems with a merchant I bought something from. They're saying that the payment didn't go through, but it says on my account that it did. Can you help me sort this out?",,,Billing,Medium,The customer is experiencing a discrepancy with a payment that may or may not have been processed.
T090,"Something's not right. I could've sworn I had a direct debit set up for my rent, but now it's saying that the payment failed. I'm going to be late on my rent if this isn't fixed ASAP",,,Billing,High,The customer is experiencing a failed direct debit payment which may result in late rent payment
T091,"Hey, my card was just blocked while I was trying to buy lunch and I have no idea why. Can you help me get it unblocked asap? I need to be able to pay for things today.",,,Account,High,The customer's card is blocked and they need immediate assistance to access their funds.
T092,I'm being charged £10 a month for a subscription I don't remember signing up for. Can you look into this and refund me if it's an error?,,,Billing,Medium,The customer is being charged for an unknown subscription and is requesting a refund.
T093,The app keeps crashing every time I try to log in. I've tried restarting my phone and reinstalling the app but nothing's working. Help!,,,Technical,High,The customer is unable to access the app due to repeated crashes during login attempts.
T094,"I'm trying to change my address but the app won't let me. It says I need to verify my identity again, but I've already done that when I signed up. What's going on?",,,Account,Medium,The customer is having trouble updating their personal details due to an identity verification issue.
T095,"I love the new budgeting features, but it would be great if you could add a way to track savings goals too. Just a thought!",,,Other,Low,The customer is providing general feedback and a feature request with no time pressure.
T096,"Something weird is going on with my account. I could've sworn I had more money in there yesterday, but now it's gone. Can you look into this? I'm getting a bit worried...",,,Account,High,"Customer suspects missing funds and is worried, implying potential fraud or unauthorised activity."
T097,"I'm trying to send money to a friend, but it says the payment is pending and has been for hours. Is everything okay?",,,Technical,Medium,The customer is experiencing a payment issue with a pending transaction.
T098,I've been charged a currency conversion fee for a transaction that was in pounds. Can you explain why this happened and refund the fee?,,,Billing,Medium,The customer is querying a specific charge and requesting a refund.
T099,I've lost my phone and I'm locked out of my account. Can you help me get back in? I need to be able to access my money asap.,,,Account,High,Customer is locked out of their account and needs urgent access to their funds.
T100,"The app is saying I've gone over my overdraft limit, but I'm sure I haven't. Can you check what's going on and sort it out?",,,Account,Medium,Customer is disputing their overdraft limit and needs assistance resolving the issue
T101,"I'm not sure what's going on, but my account seems to be... different. Everything looks a bit off and I'm not sure if someone's accessed my account or what. Can you help me figure out what's going on?",,,Account,High,Customer suspects potential unauthorized access to their account.
T102,I'd like to request a refund for a purchase I made that didn't arrive. Can you help me with that?,,,Billing,Medium,The customer is requesting a refund for a missing purchase.
T103,"I'm having some issues with the login process. Sometimes it works, sometimes it doesn't. I've tried resetting my password but that didn't help. Any ideas?",,,Technical,Medium,The customer is experiencing intermittent login issues that are not resolving with password reset.
T104,"Something's not right. I was just trying to pay for something online and my card was declined. I know I have enough money in my account, so what's going on?",,,Technical,Medium,"The customer's card was declined despite having sufficient funds, indicating a potential system issue."
T105,I'm a bit confused about the charges on my statement. Can you explain what all these different fees are for? I just want to understand what's going on with my money...,,,Billing,Low,The customer is seeking clarification on charges and fees on their statement.
T106,"Hey, my card's been blocked and I have no idea why. I need to pay for something urgent, can you help me sort this out ASAP?",,,Account,High,The customer's card is blocked and they need urgent assistance to access their funds.
T107,I'm being charged £5 a month for something called 'Monzo Plus' but I don't remember signing up for it. Can I get a refund and cancel the subscription?,,,Billing,Medium,The customer is being charged for a subscription they don't recall signing up for and is requesting a refund and cancellation.
T108,The app keeps crashing on my iPhone. I've tried restarting and updating but nothing's working. Any ideas?,,,Technical,Medium,The customer is experiencing a recurring app crash issue that is not resolving with basic troubleshooting.
T109,"I'm trying to change my address but the app won't let me. It says I need to verify my ID again, but I've already done that. Help!",,,Account,Medium,The customer is having trouble updating their personal details due to an identity verification issue.
T110,"I love the new budgeting features, but can you please add a way to track savings goals? That would be really helpful for me.",,,Other,Low,The customer is providing general feedback and requesting a new feature.
T111,I've been charged a weird fee for a transaction in euros. Can someone explain what this is and how I can avoid it in future?,,,Billing,Low,The customer is inquiring about a fee related to a transaction in euros.
T112,Something's not right with my account. I've had a few suspicious transactions and I'm worried I've been hacked. Can you help me secure my account?,,,Account,High,Customer suspects fraud and needs help securing their account
T113,The login process is really frustrating. I've got face ID enabled but it never seems to work. Can you look into this?,,,Technical,Medium,The customer is experiencing a login issue with face ID not working.
T114,"I'm not sure what's going on, but my account balance seems off. Can someone check if there's an issue with my account?",,,Account,Medium,"The customer is unsure about their account balance, indicating a potential issue with their account access or details."
T115,"I've tried to pay for something online but the payment's been declined. I've got plenty of money in my account, so I'm not sure what's going on.",,,Technical,Medium,The customer is experiencing a payment failure despite having sufficient funds.
T116,"I'm having trouble with the card machine at work. It says my card's been declined, but like I said, I've got loads of money in my account. Can you help me out?",,,Technical,Medium,The customer is experiencing a payment failure with their card.
T117,"I've been using Monzo for years and I'm really happy with the service, but I think it would be great if you could add more ATM options abroad. Just a thought!",,,Other,Low,The customer is providing general feedback and a feature request with no time pressure.
T118,I'm getting an error message when I try to send money to a friend. It says 'failed to initiate transfer' or something like that. Can you help us out?,,,Technical,Medium,The customer is experiencing a payment failure with a specific error message.
T119,"Something weird's going on with my account... I don't know if it's a bug or what, but I just got a notification about a transaction I don't recognise. Can someone look into this?",,,Account,High,Customer suspects an unrecognised transaction which may indicate potential fraud.
T120,"I'm moving to a new flat and I want to update my address, but I'm also thinking of closing my account and switching to a different bank. Can you tell me what I need to do for both options?",,,Account,Low,"The customer is inquiring about updating their address and potentially closing their account, which falls under account management."
T121,"Hey, I've just been charged £15 for a subscription I don't remember signing up for. Can you help me get a refund?",,,Billing,Medium,The customer is querying an unexpected charge and requesting a refund.
T122,My app keeps crashing whenever I try to send money to a friend. I've tried restarting my phone but it still doesn't work,,,Technical,Medium,The customer is experiencing a recurring app crash when trying to perform a specific action.
T123,"I'm trying to change my address but the app says I need to verify my ID again. I've already done this when I signed up, is this really necessary?",,,Account,Medium,Customer is experiencing an issue with updating their personal details due to an ID verification requirement.
T124,Urgent! My card has been blocked and I have no idea why. I need to pay for a hotel room tonight and I'm currently abroad. Can someone please unblock it ASAP?,,,Account,High,The customer's card is blocked and they urgently need access to their funds to pay for a hotel room.
T125,"I love the new features you've added lately, but I think it would be really helpful if you could add a budgeting tool that automatically categorizes my spending",,,Other,Low,The customer is providing general feedback and requesting a new feature.
T126,I've been charged a currency conversion fee for a payment I made in pounds. I thought Monzo didn't charge these fees? Can you explain what's going on?,,,Billing,Medium,The customer is querying a specific charge on their account related to currency conversion fees.
T127,I'm having some trouble logging in to my account. I've tried resetting my password but it's still not working. Can you help me get back in?,,,Account,Medium,Customer is having trouble accessing their account due to login issues.
T128,Something weird is going on with my account. I've had a few transactions that I don't recognize and I'm worried someone has accessed my account. Can you look into this for me?,,,Account,High,The customer suspects unauthorized access to their account and potential fraud.
T129,"I've been trying to close my account for a while now, but the app says I have an outstanding balance. I'm sure I've paid off all my debts, can you check what's going on?",,,Account,Medium,Customer is having trouble closing their account due to an unclear issue with their balance.
T130,"I'm not sure what's going on, but my account seems to be frozen. I've tried making a payment but it's not going through. Can you help me figure out what's happening?",,,Account,High,The customer's account is frozen and they cannot make payments.
T131,I've noticed that my account balance is a bit off. I've been keeping track of my spending and I'm sure I should have more money in my account. Can you help me reconcile this?,,,Billing,Medium,Customer is querying a discrepancy in their account balance.
T132,"I've been using Monzo for a while now and I have to say, the customer support has been really great. Just wanted to say thanks for all your help!",,,Other,Low,The customer is providing general feedback and expressing gratitude.
T133,"I'm trying to make a payment to a friend, but the app says the recipient's account is invalid. I've double-checked the details and they seem to be correct. Can you help us figure out what's going on?",,,Technical,Medium,The customer is experiencing a payment failure due to an invalid account error.
T134,Something's not quite right. I've had a few issues with the app lately and I'm starting to get a bit frustrated. Can we talk about what's going on and how to fix it?,,,Technical,Medium,"The customer reports having issues with the app, indicating a potential technical problem."
T135,"I've just tried to pay for something online, but the payment didn't go through. The seller is saying that the payment was declined, but I'm sure I have enough money in my account. Can you help me figure out what happened?",,,Technical,Medium,The customer is experiencing a payment failure that is preventing a transaction from completing.
T136,I've been charged £10.99 for a subscription I don't recognise. Can you tell me what it's for and how to cancel?,billing,medium,Billing,Medium,The customer is querying an unrecognised charge on their account.
T137,"I'm trying to log in but the app keeps crashing. I've tried restarting my phone and updating the app, nothing's working.",technical,medium,Technical,High,The customer is unable to access their account due to the app crashing.
T138,I'd love to see a feature that allows me to split bills with friends more easily. Maybe a button to request money from multiple people at once?,other,low,Other,Low,The customer is providing general feedback and requesting a new feature.
T139,"I love the new budgeting features, but it'd be great if you could add a way to track investments too. Just a suggestion!",other,low,Other,Low,The customer is providing general feedback and a feature request.
T140,"I'm having some trouble with the app. Sometimes it works, sometimes it doesn't. I've tried uninstalling and reinstalling but nothing seems to be working. Can you help me troubleshoot the issue?",technical,medium,Technical,Medium,The customer is experiencing intermittent app issues that are not blocking access to funds but need assistance with troubleshooting.
T141,The app just crashed on me and now I've lost all my pending payments. Can you guys do something about this? It's a bit of a disaster,technical,medium,Technical,High,"The customer's app crashed, resulting in lost pending payments, indicating a time-critical technical issue"
T142,"The Monzo card is great and all, but the contactless limit is a bit of a pain. Can we please increase it to like, £100 or something?",other,low,Other,Low,The customer is providing general feedback and making a feature request.
T143,"I'm having some issues with currency conversion fees. I was charged 3% on a recent trip to the US, but I thought Monzo didn't charge for that? Can someone clarify?",billing,medium,Billing,Low,"The customer is inquiring about currency conversion fees, which is related to money movement and charges."
T144,"Monzo's great and all, but the customer support could be better. I've been waiting for a response for days and it's a bit frustrating. Can we please improve this?",other,low,Other,Low,The customer is providing general feedback about the support experience.
T145,App keeps crashing on me every time I try to make a payment. Tried restarting phone and reinstalling but nothing's working. Help!,technical,high,Technical,High,The customer is experiencing a technical issue preventing them from making payments.
T146,I'm trying to close my account but the option isn't showing up in the app. Can you sort this for me? I've got all my banking set up with another provider now.,account,medium,Account,Medium,The customer is having trouble closing their account due to a missing option in the app.
T147,"Love the new budgeting features, but one thing that would be super useful is being able to set custom categories for tracking spending. Any chance this is on the roadmap?",low,other,Other,Low,The customer is providing general feedback and requesting a new feature.
T148,I'm getting a bit frustrated - I've been trying to get verified for ages but the app keeps saying my ID documents aren't valid. I've uploaded them like 5 times now and it's still not working. Can someone please help me get this sorted?,account,medium,Account,Medium,The customer is having trouble with identity verification and accessing their account.
T149,Had a bit of a disaster - I was trying to pay for my rent and the payment failed. Now I'm getting late payment fees from my landlord. Can you help me get the payment through and maybe waive any fees on your end?,billing,high,Technical,High,The customer is experiencing a payment failure that is causing them to incur late fees.
T150,"Just a heads up, but I think there might be a bug in the app. Sometimes when I'm looking at my transaction history, the dates are all wrong. Not a huge deal, but thought you should know.",technical,medium,Technical,Low,The customer reports a non-urgent bug in the app related to transaction history display.
T151,Urgent! My card's been blocked and I need to pay for something ASAP. I haven't received any emails or notifications about what's going on - can you please unblock it or at least tell me what's happening?,account,high,Account,High,The customer's card is blocked and they urgently need access to their funds.
T152,"Not sure what's going on, but I've been charged twice for the same subscription. I've tried contacting the company but they're saying it's Monzo's issue. Can you help me get a refund for the duplicate charge?",billing,medium,Billing,Medium,The customer is reporting a duplicate charge for a subscription and needs assistance with a refund.
T153,"Something's not feeling right. I got an email saying my account details had been changed, but I didn't make any changes. I've changed my password and all that, but I'm still a bit worried. Can you look into it and tell me what's going on?",account,high,Account,High,Customer suspects unauthorized account changes and is worried about potential fraud.
T154,"Hey, my card's been blocked and I have no idea why. I need to pay for a hotel room ASAP, can you help?",account,high,Account,High,The customer's card is blocked and they urgently need to make a payment.
T155,I'm getting a 'login failed' error every time I try to open the app. I've tried restarting my phone and everything.,technical,high,Technical,Medium,The customer is experiencing a login failure error in the app.
T156,"The app is crashing every time I try to send money to a friend. It's really frustrating, can you fix this?",technical,high,Technical,Medium,The customer is experiencing a technical issue with the app crashing when trying to send money.
T157,I think I've been a victim of fraud. I've got a transaction on my account that I don't recognise. Please help!,billing,high,Account,High,Customer suspects fraud and has an unrecognised transaction on their account.
T158,I've been trying to change my address in the app but it keeps saying 'error updating details'. Any ideas?,account,medium,Account,Medium,The customer is experiencing an issue updating their personal details in the app.
T159,"I love the new budgeting feature, but can you make it so we can set our own categories? That would be really helpful.",other,low,Other,Low,The customer is providing general feedback and requesting a new feature.
T160,"I'm not sure what's going on, but my account balance is wrong. I've got a pending transaction that's been stuck for days.",billing,medium,Technical,Medium,The customer reports a pending transaction issue affecting their account balance.
T161,I'm having trouble getting verified. I've uploaded my ID but it's saying it can't be verified. Any help?,account,medium,Account,Medium,Customer is having trouble with identity verification to access their account.
T162,"Monzo's great and all, but I really wish you'd add support for Apple Watch. It's a bit annoying having to take my phone out all the time.",other,low,Other,Low,The customer is providing general feedback and requesting a new feature.
T163,"Something weird is happening with my account. I've got a load of transactions that I don't recognise, but they're all really small. Is this some kind of glitch?",billing,high,Technical,Medium,"The customer reports unrecognised transactions, suggesting a potential system issue."
