ticket_id,ticket_text,true_category,true_urgency
T059,"Something's not right. I've had a few issues with the app and I'm starting to get a bit frustrated. Can we talk about what's going on? I'm not even sure what the problem is, but I know it's not just me",,
T060,"I've been trying to pay my credit card bill, but the payment isn't going through. I've tried a few times, but it just won't work. Can you help me figure out what's going on?",,
T061,"Hey, my card was just blocked and I have no idea why. I'm abroad and I need it for a hotel payment tonight. Help!",,
T062,"I've been charged twice for my Netflix subscription this month, can you please look into this and refund the extra charge?",,
T063,The app keeps crashing whenever I try to send money to a friend. Has anyone else reported this issue?,,
T064,"I'm trying to change my address but the app won't let me. It says I need to verify my ID again, but I've already done that. What's going on?",,
T065,"I love the new budgeting features, but it would be great if I could set custom categories. Is this something you're working on?",,
T066,I've got a strange payment on my statement from a company I've never heard of. Can you tell me what this is for?,,
T067,I'm having trouble logging in to my account. I've tried resetting my password but it's still not working. Help!,,
T068,The exchange rate you're using for my USD transactions seems really unfair. Can you explain how you calculate this?,,
T069,"I want to close my account, but I'm not sure how to do it. Can you walk me through the process?",,
T070,Something weird is going on with my account... I'm getting notifications for transactions that aren't mine. What's happening?,,
T071,"I'm trying to pay a bill, but the payment is being declined. I've got plenty of money in my account, so I'm not sure what the problem is.",,
T072,"I've been trying to get in touch with you guys for weeks about an issue with my account, but nobody seems to be responding. This is ridiculous.",,
T073,"I'm not sure if this is a bug or what, but my account balance seems to be incorrect. It says I've got -£10, which can't be right...",,
T074,Can I get some help with something? I'm not really sure what's going on or what I'm doing wrong...,,
T075,"I just got a notification that my card is being replaced, but I didn't request a new one. What's going on? Is my old card still valid?",,
T076,"Hey, my card was just blocked while trying to pay for groceries and I have no idea why. Can you please help me sort this out ASAP? I need to buy food for tonight",,
T077,I'm trying to change my address in the app but it keeps crashing. Can you fix this?,,
T078,I've been charged twice for my Netflix subscription this month. Can you help me get a refund for one of the charges?,,
T079,I've noticed that my account has been locked and I'm not sure why. I've tried resetting my password but it's still not working. Can you please assist me?,,
T080,"I'm not sure if this is the right place to ask, but I was wondering if Monzo could add a feature to track cryptocurrency prices in the app?",,
T081,I've just gotten back from a trip to the US and I've been charged a bunch of extra fees for using my card abroad. Can someone explain to me why these fees are so high?,,
T082,Something weird is going on with my account. I could've sworn I had more money in there than I do now. Can you look into this for me?,,
T083,"My app isn't letting me log in, says my password is incorrect even though I know it's right. Help?",,
T084,"I'm trying to send money to a friend but the payment keeps failing. It says there's an issue with the recipient's account, but my friend is saying that's not true.",,
T085,"I've been trying to close my account for weeks now, but every time I try, the app says there's an error. Can you please just close it for me?",,
T086,I had a weird transaction show up on my statement - it was for a company I've never heard of. I'm not sure if I've been scammed or what. Can you help me figure out what's going on?,,
T087,Can you please explain to me how your currency conversion fees work? I feel like I'm being charged too much when I use my card abroad,,
T088,I'm having some issues with the budgeting feature in the app. It's not tracking my spending correctly and I'm not sure why. Can someone help me troubleshoot?,,
T089,"I don't know if this is a Monzo issue or not, but I've been having some problems with a merchant I bought something from. They're saying that the payment didn't go through, but it says on my account that it did. Can you help me sort this out?",,
T090,"Something's not right. I could've sworn I had a direct debit set up for my rent, but now it's saying that the payment failed. I'm going to be late on my rent if this isn't fixed ASAP",,
T091,"Hey, my card was just blocked while I was trying to buy lunch and I have no idea why. Can you help me get it unblocked asap? I need to be able to pay for things today.",,
T092,I'm being charged £10 a month for a subscription I don't remember signing up for. Can you look into this and refund me if it's an error?,,
T093,The app keeps crashing every time I try to log in. I've tried restarting my phone and reinstalling the app but nothing's working. Help!,,
T094,"I'm trying to change my address but the app won't let me. It says I need to verify my identity again, but I've already done that when I signed up. What's going on?",,
T095,"I love the new budgeting features, but it would be great if you could add a way to track savings goals too. Just a thought!",,
T096,"Something weird is going on with my account. I could've sworn I had more money in there yesterday, but now it's gone. Can you look into this? I'm getting a bit worried...",,
T097,"I'm trying to send money to a friend, but it says the payment is pending and has been for hours. Is everything okay?",,
T098,I've been charged a currency conversion fee for a transaction that was in pounds. Can you explain why this happened and refund the fee?,,
T099,I've lost my phone and I'm locked out of my account. Can you help me get back in? I need to be able to access my money asap.,,
T100,"The app is saying I've gone over my overdraft limit, but I'm sure I haven't. Can you check what's going on and sort it out?",,
T101,"I'm not sure what's going on, but my account seems to be... different. Everything looks a bit off and I'm not sure if someone's accessed my account or what. Can you help me figure out what's going on?",,
T102,I'd like to request a refund for a purchase I made that didn't arrive. Can you help me with that?,,
T103,"I'm having some issues with the login process. Sometimes it works, sometimes it doesn't. I've tried resetting my password but that didn't help. Any ideas?",,
T104,"Something's not right. I was just trying to pay for something online and my card was declined. I know I have enough money in my account, so what's going on?",,
T105,I'm a bit confused about the charges on my statement. Can you explain what all these different fees are for? I just want to understand what's going on with my money...,,
T106,"Hey, my card's been blocked and I have no idea why. I need to pay for something urgent, can you help me sort this out ASAP?",,
T107,I'm being charged £5 a month for something called 'Monzo Plus' but I don't remember signing up for it. Can I get a refund and cancel the subscription?,,
T108,The app keeps crashing on my iPhone. I've tried restarting and updating but nothing's working. Any ideas?,,
T109,"I'm trying to change my address but the app won't let me. It says I need to verify my ID again, but I've already done that. Help!",,
T110,"I love the new budgeting features, but can you please add a way to track savings goals? That would be really helpful for me.",,
T111,I've been charged a weird fee for a transaction in euros. Can someone explain what this is and how I can avoid it in future?,,
T112,Something's not right with my account. I've had a few suspicious transactions and I'm worried I've been hacked. Can you help me secure my account?,,
T113,The login process is really frustrating. I've got face ID enabled but it never seems to work. Can you look into this?,,
T114,"I'm not sure what's going on, but my account balance seems off. Can someone check if there's an issue with my account?",,
T115,"I've tried to pay for something online but the payment's been declined. I've got plenty of money in my account, so I'm not sure what's going on.",,
T116,"I'm having trouble with the card machine at work. It says my card's been declined, but like I said, I've got loads of money in my account. Can you help me out?",,
T117,"I've been using Monzo for years and I'm really happy with the service, but I think it would be great if you could add more ATM options abroad. Just a thought!",,
T118,I'm getting an error message when I try to send money to a friend. It says 'failed to initiate transfer' or something like that. Can you help us out?,,
T119,"Something weird's going on with my account... I don't know if it's a bug or what, but I just got a notification about a transaction I don't recognise. Can someone look into this?",,
T120,"I'm moving to a new flat and I want to update my address, but I'm also thinking of closing my account and switching to a different bank. Can you tell me what I need to do for both options?",,
T121,"Hey, I've just been charged £15 for a subscription I don't remember signing up for. Can you help me get a refund?",,
T122,My app keeps crashing whenever I try to send money to a friend. I've tried restarting my phone but it still doesn't work,,
T123,"I'm trying to change my address but the app says I need to verify my ID again. I've already done this when I signed up, is this really necessary?",,
T124,Urgent! My card has been blocked and I have no idea why. I need to pay for a hotel room tonight and I'm currently abroad. Can someone please unblock it ASAP?,,
T125,"I love the new features you've added lately, but I think it would be really helpful if you could add a budgeting tool that automatically categorizes my spending",,
T126,I've been charged a currency conversion fee for a payment I made in pounds. I thought Monzo didn't charge these fees? Can you explain what's going on?,,
T127,I'm having some trouble logging in to my account. I've tried resetting my password but it's still not working. Can you help me get back in?,,
T128,Something weird is going on with my account. I've had a few transactions that I don't recognize and I'm worried someone has accessed my account. Can you look into this for me?,,
T129,"I've been trying to close my account for a while now, but the app says I have an outstanding balance. I'm sure I've paid off all my debts, can you check what's going on?",,
T130,"I'm not sure what's going on, but my account seems to be frozen. I've tried making a payment but it's not going through. Can you help me figure out what's happening?",,
T131,I've noticed that my account balance is a bit off. I've been keeping track of my spending and I'm sure I should have more money in my account. Can you help me reconcile this?,,
T132,"I've been using Monzo for a while now and I have to say, the customer support has been really great. Just wanted to say thanks for all your help!",,
T133,"I'm trying to make a payment to a friend, but the app says the recipient's account is invalid. I've double-checked the details and they seem to be correct. Can you help us figure out what's going on?",,
T134,Something's not quite right. I've had a few issues with the app lately and I'm starting to get a bit frustrated. Can we talk about what's going on and how to fix it?,,
T135,"I've just tried to pay for something online, but the payment didn't go through. The seller is saying that the payment was declined, but I'm sure I have enough money in my account. Can you help me figure out what happened?",,
